experiment_id,experiment_name,parameter_label,strategy,estimation_window,CAGR,Ann_Volatility,Sharpe,Sortino,VaR_95,CVaR_95,Max_Drawdown,n_oos_days,rebalance_freq,cvar_alpha
A,Window Sensitivity,w=252d,min_variance,252.0,0.0161181998498221,0.055891343152496234,0.2860851058944236,0.3923787657491304,0.005452171012711119,0.008391720110285045,-0.17128445470172227,2246,,
A,Window Sensitivity,w=504d,min_variance,504.0,0.00492381783009832,0.058631194256285435,0.0837734169669778,0.1158793043438682,0.005899237587178283,0.008978350454104802,-0.19658326867687903,1994,,
A,Window Sensitivity,w=252d,cvar_95,252.0,0.007561543361034095,0.05464742818497862,0.13784908906317975,0.19082578433428699,0.005400085952987592,0.00815638161741646,-0.20548723416251102,2246,,
A,Window Sensitivity,w=504d,cvar_95,504.0,0.0062716182273896415,0.05680270632622078,0.11006576758225158,0.1535148235629743,0.005615991805206946,0.008446107202029613,-0.19728280740535442,1994,,
B,Rebalance Frequency,f=21d,equal_weight,,0.05739157396263583,0.10062903050767151,0.5545625936010673,0.7413149766132896,0.009490003147925474,0.015634971445858636,-0.22016301805382432,2246,21.0,
B,Rebalance Frequency,f=63d,equal_weight,,0.057391573962637166,0.10062903050767202,0.554562593601078,0.7413149766133044,0.009490003147925561,0.01563497144585868,-0.22016301805382466,2246,63.0,
B,Rebalance Frequency,f=21d,min_variance,,0.0161181998498221,0.055891343152496234,0.2860851058944236,0.3923787657491304,0.005452171012711119,0.008391720110285045,-0.17128445470172227,2246,21.0,
B,Rebalance Frequency,f=63d,min_variance,,0.018460486297551704,0.05683318921905977,0.32185700304021336,0.44205912471375025,0.005417439351435512,0.008569269484010865,-0.14942506983894666,2246,63.0,
B,Rebalance Frequency,f=21d,cvar_95,,0.007561543361034095,0.05464742818497862,0.13784908906317975,0.19082578433428699,0.005400085952987592,0.00815638161741646,-0.20548723416251102,2246,21.0,
B,Rebalance Frequency,f=63d,cvar_95,,0.007199248169610373,0.05513193168489256,0.1301143833090166,0.1809694683619925,0.005410143823655614,0.008241594197668395,-0.20659436699922218,2246,63.0,
C,CVaR Alpha,a=0.90,cvar_90,,0.007942709680463622,0.053981675746032645,0.14655588753359003,0.20276103606550208,0.005161390921810372,0.008151974297212703,-0.20456813856684664,2246,,0.9
C,CVaR Alpha,a=0.95,cvar_95,,0.007561543361034095,0.05464742818497862,0.13784908906317975,0.19082578433428699,0.005400085952987592,0.00815638161741646,-0.20548723416251102,2246,,0.95
C,CVaR Alpha,a=0.99,cvar_99,,0.002318107220568022,0.05933644747550203,0.039021961265632905,0.053250637316453145,0.0058343751615310725,0.008882858360202093,-0.22559253948682312,2246,,0.99
